condition,consequence,frequency,confidence,correlation
taverna:errorMessage,taverna:stackTrace,333,1,1
taverna:sha1,taverna:sha512,52049,1,1
taverna:sha512,taverna:sha1,52049,1,1
taverna:stackTrace,taverna:errorMessage,333,1,1
dc:hasPart,wfprov:describedByProcess,2825,0.935,0.585
dc:hasPart,wfprov:wasPartOfWorkflowRun,2825,0.935,0.585
dc:hasPart,rdfs:label,2921,0.967,0.517
dc:hasPart,prov:endedAtTime,0.967,0.597,
dc:hasPart,prov:qualifiedAssociation,0.967,0.597,
dc:hasPart,prov:startedAtTime,0.967,0.597,
wfprov:describedByProcess,wfprov:usedInput,6819,0.916,0.949
wfprov:describedByProcess,wfprov:wasPartOfWorkflowRun,7443,1,1
wfprov:describedByProcess,rdfs:label,7443,1,0.854
wfprov:describedByProcess,prov:endedAtTime,7443,1,0.987
wfprov:describedByProcess,prov:qualifiedAssociation,7443,1,0.987
wfprov:describedByProcess,prov:qualifiedUsage,6819,0.916,0.949
wfprov:describedByProcess,prov:startedAtTime,7443,1,0.987
wfprov:describedByProcess,prov:used,6819,0.916,0.949
wfprov:usedInput,wfprov:describedByProcess,6819,0.987,0.949
wfprov:usedInput,wfprov:wasPartOfWorkflowRun,6819,0.987,0.949
wfprov:usedInput,rdfs:label,6906,1,0.82
wfprov:usedInput,prov:endedAtTime,6906,1,0.949
wfprov:usedInput,prov:qualifiedAssociation,6906,1,0.949
wfprov:usedInput,prov:qualifiedUsage,6906,1,1
wfprov:usedInput,prov:startedAtTime,6906,1,0.949
wfprov:usedInput,prov:used,6906,1,1
wfprov:wasOutputFrom,wfprov:describedByParameter,8682,1,0.815
wfprov:wasOutputFrom,prov:qualifiedGeneration,8682,1,1
wfprov:wasOutputFrom,prov:wasGeneratedBy,8682,1,0.994
wfprov:wasPartOfWorkflowRun,wfprov:describedByProcess,7443,1,1
wfprov:wasPartOfWorkflowRun,wfprov:usedInput,6819,0.916,0.949
wfprov:wasPartOfWorkflowRun,rdfs:label,7443,1,0.854
wfprov:wasPartOfWorkflowRun,prov:endedAtTime,7443,1,0.987
wfprov:wasPartOfWorkflowRun,prov:qualifiedAssociation,7443,1,0.987
wfprov:wasPartOfWorkflowRun,prov:qualifiedUsage,6819,0.916,0.949
wfprov:wasPartOfWorkflowRun,prov:startedAtTime,7443,1,0.987
wfprov:wasPartOfWorkflowRun,prov:used,6819,0.916,0.949
prov:activity,prov:hadRole,9102,1,0.58
prov:agent,prov:hadPlan,7635,1,1
prov:endedAtTime,wfprov:describedByProcess,7443,0.975,0.987
prov:endedAtTime,wfprov:usedInput,6906,0.905,0.949
prov:endedAtTime,wfprov:wasPartOfWorkflowRun,7443,0.975,0.987
prov:endedAtTime,rdfs:label,7635,1,0.866
prov:endedAtTime,prov:qualifiedAssociation,7635,1,1
prov:endedAtTime,prov:qualifiedUsage,6906,0.905,0.949
prov:endedAtTime,prov:startedAtTime,7635,1,1
prov:endedAtTime,prov:used,6906,0.905,0.949
prov:entity,rdf:type,14797,1,0.595
prov:entity,prov:hadRole,14797,1,0.76
prov:hadPlan,prov:agent,7635,1,1
prov:hadRole,rdf:type,23899,1,0.783
prov:qualifiedAssociation,wfprov:describedByProcess,7443,0.975,0.987
prov:qualifiedAssociation,wfprov:usedInput,6906,0.905,0.949
prov:qualifiedAssociation,wfprov:wasPartOfWorkflowRun,7443,0.975,0.987
prov:qualifiedAssociation,rdfs:label,7635,1,0.866
prov:qualifiedAssociation,prov:endedAtTime,7635,1,1
prov:qualifiedAssociation,prov:qualifiedUsage,6906,0.905,0.949
prov:qualifiedAssociation,prov:startedAtTime,7635,1,1
prov:qualifiedAssociation,prov:used,6906,0.905,0.949
prov:qualifiedGeneration,wfprov:describedByParameter,8682,1,0.815
prov:qualifiedGeneration,wfprov:wasOutputFrom,8682,1,1
prov:qualifiedGeneration,prov:wasGeneratedBy,8682,1,0.994
prov:qualifiedUsage,wfprov:describedByProcess,6819,0.988,0.949
prov:qualifiedUsage,wfprov:usedInput,6906,1,1
prov:qualifiedUsage,wfprov:wasPartOfWorkflowRun,6819,0.988,0.949
prov:qualifiedUsage,rdfs:label,6906,1,0.822
prov:qualifiedUsage,prov:endedAtTime,6906,1,0.949
prov:qualifiedUsage,prov:qualifiedAssociation,6906,1,0.949
prov:qualifiedUsage,prov:startedAtTime,6906,1,0.949
prov:qualifiedUsage,prov:used,6906,1,1
prov:startedAtTime,wfprov:describedByProcess,7443,0.975,0.987
prov:startedAtTime,wfprov:usedInput,6906,0.905,0.949
prov:startedAtTime,wfprov:wasPartOfWorkflowRun,7443,0.975,0.987
prov:startedAtTime,rdfs:label,7635,1,0.866
prov:startedAtTime,prov:qualifiedAssociation,7635,1,1
prov:startedAtTime,prov:qualifiedUsage,6906,0.905,0.949
prov:startedAtTime,prov:endedAtTime,7635,1,1
prov:startedAtTime,prov:used,6906,0.905,0.949
prov:used,wfprov:describedByProcess,6819,0.988,0.949
prov:used,wfprov:usedInput,6906,1,1
prov:used,wfprov:wasPartOfWorkflowRun,6819,0.988,0.949
prov:used,rdfs:label,6906,1,0.822
prov:used,prov:endedAtTime,6906,1,0.949
prov:used,prov:qualifiedAssociation,6906,1,0.949
prov:used,prov:startedAtTime,6906,1,0.949
prov:used,prov:qualifiedUsage,6906,1,1
prov:wasDerivedFrom,taverna:errorMessage,210,1,0.794
prov:wasDerivedFrom,taverna:stackTrace,210,1,0.794
prov:wasGeneratedBy,wfprov:describedByParameter,8682,0.989,0.81
prov:wasGeneratedBy,wfprov:wasOutputFrom,8682,0.989,0.994
prov:wasGeneratedBy,prov:qualifiedGeneration,8682,0.989,0.994
